,match_id,serving_player,Points_Away_player_0,Points_Away_player_1,Games_Away_player_0,Games_Away_player_1,Sets_Away_player_0,Sets_Away_player_1,match_winning_player
136,1,1,3,2,2,2,2,1,1
137,1,1,3,1,2,2,2,1,1
138,1,1,2,1,2,2,2,1,1
139,1,0,4,4,3,1,2,1,1
140,1,0,4,3,3,1,2,1,1
141,1,0,3,3,3,1,2,1,1
142,1,0,3,2,3,1,2,1,1
143,1,0,3,1,3,1,2,1,1
144,1,0,2,1,3,1,2,1,1
145,2,0,4,4,6,6,2,2,0
146,2,0,4,3,6,6,2,2,0
147,2,0,4,2,6,6,2,2,0
148,2,0,3,2,6,6,2,2,0
149,2,0,3,1,6,6,2,2,0
150,2,0,2,1,6,6,2,2,0
151,2,0,2,2,6,6,2,2,0
152,2,0,2,1,6,6,2,2,0
153,2,0,2,2,6,6,2,2,0
154,2,0,1,2,6,6,2,2,0
155,2,0,2,2,6,6,2,2,0
156,2,0,1,2,6,6,2,2,0
157,2,1,4,4,5,6,2,2,0
158,2,1,4,3,5,6,2,2,0
159,2,1,4,2,5,6,2,2,0
160,2,1,4,1,5,6,2,2,0
161,2,1,3,1,5,6,2,2,0
162,2,1,2,1,5,6,2,2,0
163,2,1,2,2,5,6,2,2,0
164,2,1,1,2,5,6,2,2,0
165,2,1,2,2,5,6,2,2,0
166,2,1,1,2,5,6,2,2,0
167,2,1,2,2,5,6,2,2,0
168,2,1,2,1,5,6,2,2,0
169,2,1,2,2,5,6,2,2,0
170,2,1,2,1,5,6,2,2,0
171,2,1,2,2,5,6,2,2,0
172,2,1,2,1,5,6,2,2,0
173,2,1,2,2,5,6,2,2,0
174,2,1,1,2,5,6,2,2,0
175,2,0,4,4,4,6,2,2,0
176,2,0,3,4,4,6,2,2,0
177,2,0,2,4,4,6,2,2,0
178,2,0,1,4,4,6,2,2,0
179,2,1,4,4,3,6,2,2,0
180,2,1,4,3,3,6,2,2,0
181,2,1,4,2,3,6,2,2,0
182,2,1,4,1,3,6,2,2,0
183,2,1,3,1,3,6,2,2,0
184,2,0,4,4,3,5,2,2,0
185,2,0,4,3,3,5,2,2,0
186,2,0,4,2,3,5,2,2,0
187,2,0,4,1,3,5,2,2,0
188,2,0,3,1,3,5,2,2,0
189,2,0,2,1,3,5,2,2,0
190,2,0,2,2,3,5,2,2,0
191,2,0,1,2,3,5,2,2,0
192,2,1,4,4,2,5,2,2,0
193,2,1,4,3,2,5,2,2,0
194,2,1,4,2,2,5,2,2,0
195,2,1,4,1,2,5,2,2,0
196,2,1,3,1,2,5,2,2,0
197,2,0,4,4,2,4,2,2,0
198,2,0,3,4,2,4,2,2,0
199,2,0,2,4,2,4,2,2,0
200,2,0,1,4,2,4,2,2,0
201,2,1,4,4,1,5,2,2,0
202,2,1,3,4,1,5,2,2,0
203,2,1,3,3,1,5,2,2,0
204,2,1,3,2,1,5,2,2,0
205,2,1,2,2,1,5,2,2,0
206,2,1,2,1,1,5,2,2,0
207,2,1,2,2,1,5,2,2,0
